model,world,base,arm,view,tier_pred,expect_band,max_prob,mean_prob,top_cell,top_band,top_sector,band_hit,fired,n_fired,A1,A2,A3a,A3b,B1,B2,B3a,B3b,C1,C2,C3a,C3b,D1,D2,D3a,D3b,E1,E2,E3a,E3b
b2_s42,gz_drop1_ctrl,gz_drop1,ctrl,preset_h0.3_d10,ctrl,3b,0.534357,0.079205,C3b,3b,C,1,1,1,0.000418,0.007393,0.037325,0.010216,0.00011,0.061645,0.176187,0.231367,0.000203,0.017848,0.154916,0.534357,0.000212,0.030326,0.048018,0.227919,0.000204,0.001555,0.034213,0.009665
b2_s42,gz_drop1_ctrl,gz_drop1,ctrl,preset_h0.3_d2,ctrl,2,0.878198,0.204003,D3a,3a,D,0,1,4,0.008445,0.011234,0.01926,0.038999,0.007232,0.042205,0.050159,0.00741,0.010253,0.052258,0.182195,0.15319,0.018512,0.038464,0.878198,0.803307,0.002265,0.097369,0.800218,0.858892
b2_s42,gz_drop1_ctrl,gz_drop1,ctrl,preset_h0.3_d5,ctrl,3a,0.173165,0.01999,A2,2,A,0,0,0,0.005547,0.173165,0.003548,0.000231,0.002162,0.034352,0.017225,0.025861,0.001449,0.014593,0.009618,0.034835,0.004217,0.017319,0.006061,0.003167,0.003062,0.033775,0.009479,0.000143
b2_s42,gz_drop1_ctrl,gz_drop1,ctrl,preset_h0.9_d10,ctrl,3b,0.901633,0.212098,C3b,3b,C,1,1,3,0.000509,0.020377,0.01074,0.019982,0.000331,0.198665,0.44589,0.242694,0.000322,0.049981,0.741299,0.901633,0.000485,0.078596,0.447387,0.817822,0.000425,0.016533,0.176271,0.072017
b2_s42,gz_drop1_ctrl,gz_drop1,ctrl,preset_h0.9_d2,ctrl,2,0.71369,0.080825,D3a,3a,D,0,1,1,0.008335,0.138134,0.018701,0.003609,0.005715,0.044626,0.045987,0.009485,0.001846,0.021511,0.033588,0.073964,0.009422,0.018937,0.71369,0.103855,0.001124,0.095551,0.246336,0.022084
b2_s42,gz_drop1_ctrl,gz_drop1,ctrl,preset_h0.9_d5,ctrl,3a,0.673461,0.124223,C3b,3b,C,0,1,1,0.006342,0.428856,0.001439,0.000239,0.003526,0.240249,0.152066,0.228724,0.003402,0.054013,0.135685,0.673461,0.014805,0.067787,0.116669,0.087609,0.008306,0.243499,0.017698,8.3e-05
b2_s42,gz_drop1_ctrl,gz_drop1,ctrl,rs_h0.125_d2,ctrl,2,0.038634,0.005273,D3b,3b,D,0,0,0,0.000172,0.000373,7.7e-05,0.000167,0.00041,0.000326,0.000179,0.001258,0.000245,0.000584,0.001191,0.015221,0.000437,0.000597,0.010571,0.038634,6.1e-05,0.001694,0.009206,0.024059
b2_s42,gz_drop1_ctrl,gz_drop1,ctrl,rs_h0.125_d5,ctrl,3a,0.002588,0.000405,C3b,3b,C,0,0,0,0.000309,0.000277,0.000148,0.000172,0.000139,0.000159,8e-05,0.00219,0.000174,0.000123,3.6e-05,0.002588,0.00035,0.000197,7.2e-05,0.000308,0.000158,0.000271,0.000117,0.000229
b2_s42,gz_drop2,gz_drop2,hazard,extra_h0.3_d1.2,V,1,0.554468,0.052431,B3b,3b,B,0,1,1,0.004381,0.004094,0.003443,0.312712,0.001263,0.002141,0.001576,0.554468,0.002074,0.001056,0.000762,0.057496,0.002881,0.002322,0.001325,0.031184,0.004735,0.000836,0.000521,0.059357
b2_s42,gz_drop2,gz_drop2,hazard,preset_h0.3_d10,V,3b,0.661565,0.168,C3b,3b,C,1,1,1,0.004744,0.078604,0.153565,0.023305,0.000344,0.256099,0.468801,0.386871,0.00035,0.070856,0.369112,0.661565,0.000517,0.088785,0.203202,0.462638,0.001655,0.021252,0.094839,0.012887
b2_s42,gz_drop2,gz_drop2,hazard,preset_h0.3_d2,V,2,0.91563,0.114994,B3b,3b,B,0,1,2,0.001552,0.001117,0.000525,0.42537,0.000209,0.001007,0.000315,0.91563,0.00059,0.00032,9.5e-05,0.525179,0.000921,0.000579,0.000239,0.298435,0.001693,0.000468,0.000216,0.125423
b2_s42,gz_drop2,gz_drop2,hazard,preset_h0.3_d5,V,3a,0.455488,0.096321,A2,2,A,0,0,0,0.053004,0.455488,0.02909,0.00211,0.020764,0.371769,0.049227,0.038834,0.022054,0.169959,0.019896,0.06072,0.01852,0.099114,0.05516,0.09372,0.033687,0.219914,0.107564,0.00583
b2_s42,gz_drop2,gz_drop2,hazard,preset_h0.9_d10,V,3b,0.768045,0.220168,D3b,3b,D,1,1,4,0.002874,0.029821,0.012251,0.010049,0.001877,0.480679,0.49615,0.124273,0.002278,0.103562,0.557301,0.367445,0.000814,0.303438,0.536958,0.768045,0.003013,0.067431,0.510935,0.024161
b2_s42,gz_drop2,gz_drop2,hazard,preset_h0.9_d2,V,2,0.759735,0.075578,B3b,3b,B,0,1,1,0.003504,0.017024,0.000991,0.217231,0.000518,0.004772,0.002324,0.759735,0.001055,0.002233,0.001924,0.134979,0.001583,0.00307,0.004255,0.286534,0.006973,0.00285,0.002989,0.057021
b2_s42,gz_drop2,gz_drop2,hazard,preset_h0.9_d5,V,3a,0.903713,0.293651,B2,2,B,0,1,5,0.073994,0.8389,0.008818,0.002172,0.107461,0.903713,0.137282,0.072532,0.068784,0.588994,0.148386,0.146983,0.067447,0.750959,0.359684,0.309792,0.073678,0.738475,0.469312,0.005655
b2_s42,gz_drop2,gz_drop2,hazard,rs_h0.125_d2,V,2,0.972466,0.102331,B3b,3b,B,0,1,2,0.002007,0.003684,0.003165,0.228821,0.000147,0.001152,0.000949,0.972466,0.000484,0.000801,0.00012,0.781704,0.00056,0.000863,2.7e-05,0.037134,0.000983,0.000275,9.9e-05,0.011176
b2_s42,gz_drop2,gz_drop2,hazard,rs_h0.125_d5,V,3a,0.207857,0.02306,B3b,3b,B,0,0,0,0.00586,0.00953,0.002641,0.000945,0.000799,0.006325,0.000592,0.207857,0.001748,0.002583,5.4e-05,0.186036,0.002475,0.003614,4.7e-05,0.024263,0.001751,0.002607,0.000709,0.000754
b2_s42,gz_drop2_ctrl,gz_drop2,ctrl,extra_h0.3_d1.2,ctrl,1,0.196617,0.016517,B3b,3b,B,0,0,0,0.0016,0.004823,0.00314,0.052526,0.001086,0.00137,0.002803,0.196617,0.000766,0.001065,0.001149,0.032121,0.00257,0.002337,0.001359,0.010356,0.00192,0.000656,0.000743,0.011329
b2_s42,gz_drop2_ctrl,gz_drop2,ctrl,preset_h0.3_d10,ctrl,3b,0.619701,0.150739,C3b,3b,C,1,1,1,0.001916,0.03832,0.107689,0.026031,0.000151,0.156663,0.476289,0.48461,0.000182,0.038825,0.462544,0.619701,0.000202,0.073741,0.163916,0.3146,0.000944,0.005406,0.03828,0.00477
b2_s42,gz_drop2_ctrl,gz_drop2,ctrl,preset_h0.3_d2,ctrl,2,0.756378,0.077316,B3b,3b,B,0,1,1,0.001176,0.000457,0.000956,0.228947,0.000254,0.000561,0.000252,0.756378,0.000626,0.000255,9.2e-05,0.313764,0.001301,0.000498,0.000213,0.1626,0.000953,0.00036,0.000233,0.076452
b2_s42,gz_drop2_ctrl,gz_drop2,ctrl,preset_h0.3_d5,ctrl,3a,0.433045,0.081808,A2,2,A,0,0,0,0.040415,0.433045,0.029107,0.001585,0.02073,0.297698,0.036012,0.037952,0.024606,0.152845,0.008711,0.053155,0.015426,0.077412,0.029283,0.075597,0.031641,0.183599,0.08336,0.003974
b2_s42,gz_drop2_ctrl,gz_drop2,ctrl,preset_h0.9_d10,ctrl,3b,0.727262,0.224022,D3b,3b,D,1,1,4,0.002805,0.047735,0.049706,0.016811,0.001072,0.498718,0.532339,0.477073,0.001545,0.066606,0.555895,0.608625,0.000576,0.236818,0.301588,0.727262,0.003306,0.053018,0.275339,0.023606
b2_s42,gz_drop2_ctrl,gz_drop2,ctrl,preset_h0.9_d2,ctrl,2,0.758112,0.061386,B3b,3b,B,0,1,1,0.002608,0.006924,0.000742,0.15469,0.000475,0.002588,0.001215,0.758112,0.001079,0.000997,0.000417,0.125287,0.001758,0.001611,0.00104,0.132294,0.005479,0.00258,0.001109,0.026721
b2_s42,gz_drop2_ctrl,gz_drop2,ctrl,preset_h0.9_d5,ctrl,3a,0.858237,0.269914,B2,2,B,0,1,5,0.059511,0.739032,0.005618,0.001079,0.077711,0.858237,0.111226,0.050668,0.058354,0.544683,0.104046,0.105682,0.049532,0.607688,0.416852,0.312398,0.088058,0.721301,0.480291,0.006314
b2_s42,gz_drop2_ctrl,gz_drop2,ctrl,rs_h0.125_d2,ctrl,2,0.897535,0.084689,B3b,3b,B,0,1,2,0.000775,0.000977,0.000824,0.097162,0.000141,0.000339,0.000103,0.897535,0.000487,0.000239,1.9e-05,0.632065,0.000633,0.000269,2.7e-05,0.046349,0.000872,0.000161,7.5e-05,0.014734
b2_s42,gz_drop2_ctrl,gz_drop2,ctrl,rs_h0.125_d5,ctrl,3a,0.069087,0.007457,B3b,3b,B,0,0,0,0.002825,0.001878,0.000519,0.000652,0.000449,0.001909,9.2e-05,0.069087,0.000652,0.00074,1.5e-05,0.054787,0.001898,0.000852,2e-05,0.010643,0.000881,0.00064,0.000196,0.000397
b2_s42,gz_drop3,gz_drop3,hazard,extra_h0.3_d1.2,H,1,0.386399,0.084917,D3a,3a,D,0,0,0,0.021663,0.273963,0.120869,0.03906,0.002005,0.056066,0.085582,0.024782,0.00263,0.020316,0.093461,0.098137,0.004233,0.017939,0.386399,0.038706,0.0006,0.076087,0.325242,0.010605
b2_s42,gz_drop3,gz_drop3,hazard,preset_h0.3_d10,H,3b,0.9531,0.222745,C3b,3b,C,1,1,3,0.001155,0.025344,0.162533,0.06093,0.000133,0.155072,0.403179,0.385815,0.000216,0.045603,0.639252,0.9531,0.000195,0.07811,0.461205,0.743996,0.000373,0.006884,0.138323,0.193488
b2_s42,gz_drop3,gz_drop3,hazard,preset_h0.3_d2,H,2,0.983804,0.372153,D3b,3b,D,0,1,7,0.013143,0.154104,0.109965,0.439811,0.001701,0.054044,0.510145,0.458795,0.004651,0.031431,0.878816,0.926049,0.00683,0.04803,0.868202,0.983804,0.000682,0.071329,0.950568,0.930962
b2_s42,gz_drop3,gz_drop3,hazard,preset_h0.3_d5,H,3a,0.60633,0.079274,C3b,3b,C,0,1,1,0.015901,0.321562,0.006757,0.000493,0.002694,0.079496,0.044704,0.16179,0.003334,0.022684,0.012173,0.60633,0.006476,0.029686,0.04817,0.100352,0.003968,0.06274,0.05397,0.002192
b2_s42,gz_drop3,gz_drop3,hazard,preset_h0.9_d10,H,3b,0.983497,0.27965,C3b,3b,C,1,1,4,0.000745,0.043034,0.042814,0.079812,0.000374,0.21565,0.436472,0.391542,0.000342,0.058938,0.812619,0.983497,0.000357,0.082436,0.744908,0.940784,0.000765,0.030085,0.309774,0.418052
b2_s42,gz_drop3,gz_drop3,hazard,preset_h0.9_d2,H,2,0.996248,0.46259,D3b,3b,D,0,1,9,0.034197,0.330082,0.227226,0.899586,0.003604,0.100315,0.680483,0.855734,0.006737,0.052733,0.937646,0.940917,0.005123,0.059732,0.973735,0.996248,0.002658,0.222543,0.962519,0.959992
b2_s42,gz_drop3,gz_drop3,hazard,preset_h0.9_d5,H,3a,0.960284,0.259538,C3b,3b,C,0,1,5,0.007724,0.548415,0.002165,0.001282,0.004124,0.46455,0.165629,0.514937,0.004741,0.110431,0.245109,0.960284,0.00936,0.23689,0.4298,0.639417,0.005055,0.602383,0.235689,0.002767
b2_s42,gz_drop3,gz_drop3,hazard,rs_h0.125_d2,H,2,0.966548,0.406565,D3b,3b,D,0,1,9,0.003555,0.143577,0.120511,0.761985,0.002265,0.028016,0.604028,0.850598,0.010335,0.097873,0.858236,0.908786,0.007208,0.132549,0.770454,0.966548,0.00045,0.064468,0.863257,0.936609
b2_s42,gz_drop3,gz_drop3,hazard,rs_h0.125_d5,H,3a,0.340219,0.035014,C3b,3b,C,0,0,0,0.003739,0.002499,0.004667,0.006539,0.00035,0.001024,0.003691,0.173432,0.002188,0.001462,0.000641,0.340219,0.00047,0.000998,0.001988,0.126133,0.000581,0.001745,0.003242,0.02467
b2_s42,gz_drop3_ctrl,gz_drop3,ctrl,extra_h0.3_d1.2,ctrl,1,0.386399,0.084917,D3a,3a,D,0,0,0,0.021663,0.273963,0.120869,0.03906,0.002005,0.056066,0.085582,0.024782,0.00263,0.020316,0.093461,0.098137,0.004233,0.017939,0.386399,0.038706,0.0006,0.076087,0.325242,0.010605
b2_s42,gz_drop3_ctrl,gz_drop3,ctrl,preset_h0.3_d10,ctrl,3b,0.953061,0.2232,C3b,3b,C,1,1,3,0.001167,0.024969,0.165513,0.062811,0.000131,0.152142,0.407463,0.391983,0.000216,0.043478,0.638962,0.953061,0.000192,0.076354,0.460695,0.744212,0.000378,0.006937,0.136252,0.197075
b2_s42,gz_drop3_ctrl,gz_drop3,ctrl,preset_h0.3_d2,ctrl,2,0.983804,0.372156,D3b,3b,D,0,1,7,0.013146,0.154119,0.109963,0.439786,0.001701,0.054069,0.510147,0.458722,0.004651,0.031436,0.878848,0.926056,0.00683,0.048037,0.868255,0.983804,0.000682,0.071336,0.950577,0.93095
b2_s42,gz_drop3_ctrl,gz_drop3,ctrl,preset_h0.3_d5,ctrl,3a,0.607436,0.079131,C3b,3b,C,0,1,1,0.015694,0.319289,0.006676,0.000486,0.002706,0.078867,0.044285,0.159838,0.003332,0.022437,0.012079,0.607436,0.006469,0.029412,0.048069,0.102191,0.003937,0.062738,0.0545,0.002186
b2_s42,gz_drop3_ctrl,gz_drop3,ctrl,preset_h0.9_d10,ctrl,3b,0.983205,0.278974,C3b,3b,C,1,1,4,0.000737,0.041667,0.040712,0.079866,0.000373,0.210404,0.433813,0.386639,0.000344,0.056678,0.815991,0.983205,0.000359,0.0815,0.746653,0.940972,0.000753,0.030037,0.312869,0.415905
b2_s42,gz_drop3_ctrl,gz_drop3,ctrl,preset_h0.9_d2,ctrl,2,0.996226,0.462491,D3b,3b,D,0,1,9,0.034244,0.330282,0.226991,0.899259,0.003609,0.100369,0.680071,0.855474,0.006744,0.052777,0.937485,0.94082,0.005136,0.059668,0.973622,0.996226,0.002656,0.222199,0.96239,0.95979
b2_s42,gz_drop3_ctrl,gz_drop3,ctrl,preset_h0.9_d5,ctrl,3a,0.961976,0.26466,C3b,3b,C,0,1,5,0.007723,0.561234,0.002331,0.001354,0.004163,0.474867,0.178274,0.528926,0.004754,0.116857,0.257725,0.961976,0.009506,0.243156,0.440005,0.64364,0.005154,0.608513,0.240231,0.002813
b2_s42,gz_drop3_ctrl,gz_drop3,ctrl,rs_h0.125_d2,ctrl,2,0.966591,0.406543,D3b,3b,D,0,1,9,0.003553,0.143435,0.120272,0.761757,0.002264,0.028021,0.603616,0.850199,0.010337,0.097951,0.858359,0.908796,0.007206,0.132653,0.770722,0.966591,0.000449,0.064522,0.863421,0.936739
b2_s42,gz_drop3_ctrl,gz_drop3,ctrl,rs_h0.125_d5,ctrl,3a,0.346602,0.036039,C3b,3b,C,0,0,0,0.003822,0.002543,0.004885,0.006869,0.000349,0.001041,0.003884,0.178291,0.002243,0.00151,0.000672,0.346602,0.000468,0.001019,0.002128,0.132351,0.00058,0.001794,0.003415,0.026322
b2_s42,gz_drop4,gz_drop4,hazard,extra_h0.3_d1.2,V,1,0.169991,0.025096,D3a,3a,D,0,0,0,0.013958,0.041446,0.005123,0.007318,0.003775,0.008914,0.007834,0.005173,0.006525,0.010401,0.009695,0.015145,0.002493,0.006842,0.169991,0.05334,0.001502,0.053348,0.046086,0.033018
b2_s42,gz_drop4,gz_drop4,hazard,preset_h0.3_d10,E,3b,0.633193,0.104178,C3b,3b,C,1,1,1,0.000568,0.014941,0.064448,0.014417,0.000166,0.114525,0.245984,0.244505,0.000223,0.035699,0.236401,0.633193,0.000202,0.048514,0.076323,0.285407,0.000257,0.002414,0.050905,0.014458
b2_s42,gz_drop4,gz_drop4,hazard,preset_h0.3_d2,V,2,0.983538,0.249256,D3a,3a,D,0,1,5,0.013747,0.081433,0.03517,0.015895,0.013794,0.061663,0.141735,0.022653,0.013373,0.078682,0.666524,0.18887,0.008553,0.110286,0.983538,0.796844,0.004152,0.086462,0.929912,0.731829
b2_s42,gz_drop4,gz_drop4,hazard,preset_h0.3_d5,V,3a,0.22716,0.031839,C3b,3b,C,0,0,0,0.004956,0.151259,0.002527,0.000196,0.001163,0.032312,0.03686,0.052537,0.001039,0.015656,0.013171,0.22716,0.004024,0.010081,0.017282,0.028523,0.002439,0.021438,0.013957,0.000192
b2_s42,gz_drop4,gz_drop4,hazard,preset_h0.9_d10,E,3b,0.861999,0.17628,D3b,3b,D,1,1,3,0.000333,0.009292,0.003407,0.007851,0.00029,0.088369,0.260243,0.165209,0.00034,0.0214,0.599453,0.815731,0.000658,0.054087,0.402336,0.861999,0.000357,0.015802,0.163393,0.055059
b2_s42,gz_drop4,gz_drop4,hazard,preset_h0.9_d2,V,2,0.82339,0.245072,D3a,3a,D,0,1,3,0.029679,0.48832,0.090334,0.102621,0.042012,0.278354,0.380687,0.129746,0.024973,0.278418,0.542606,0.141377,0.062322,0.193048,0.82339,0.322815,0.014213,0.285489,0.52504,0.146003
b2_s42,gz_drop4,gz_drop4,hazard,preset_h0.9_d5,V,3a,0.692585,0.106933,C3b,3b,C,0,1,1,0.004222,0.356376,0.000407,0.000227,0.002848,0.25714,0.059756,0.142138,0.001957,0.048685,0.064923,0.692585,0.008637,0.076789,0.053456,0.065476,0.003248,0.281038,0.018635,0.00011
b2_s42,gz_drop4,gz_drop4,hazard,rs_h0.125_d2,V,2,0.989884,0.165281,C3b,3b,C,0,1,3,0.000181,0.006865,0.00059,0.064845,9.1e-05,0.001204,0.010362,0.89543,0.000212,0.006722,0.001727,0.989884,0.000245,0.000912,0.00783,0.950654,4.3e-05,0.001789,0.020507,0.345535
b2_s42,gz_drop4,gz_drop4,hazard,rs_h0.125_d5,E,3a,0.006229,0.00083,C3b,3b,C,0,0,0,0.000531,0.000438,0.0003,0.000303,0.000177,0.000213,8.9e-05,0.005561,0.00026,0.000187,2.7e-05,0.006229,0.000439,0.000302,5.5e-05,0.000483,0.000271,0.000296,0.000124,0.000309
b2_s42,gz_drop4_ctrl,gz_drop4,ctrl,extra_h0.3_d1.2,ctrl,1,0.020199,0.005176,D3a,3a,D,0,0,0,0.002249,0.010866,0.004486,0.001616,0.002115,0.002237,0.00109,0.001834,0.001415,0.001578,0.00156,0.012307,0.002194,0.001541,0.020199,0.01164,0.000779,0.007781,0.01185,0.004189
b2_s42,gz_drop4_ctrl,gz_drop4,ctrl,preset_h0.3_d10,ctrl,3b,0.6377,0.105457,C3b,3b,C,1,1,1,0.000566,0.01563,0.069826,0.014854,0.000167,0.118226,0.253007,0.239855,0.000227,0.036343,0.232418,0.6377,0.000204,0.051849,0.078803,0.288467,0.000254,0.002471,0.053107,0.015162
b2_s42,gz_drop4_ctrl,gz_drop4,ctrl,preset_h0.3_d2,ctrl,2,0.978252,0.198613,D3a,3a,D,0,1,4,0.007775,0.020937,0.024792,0.007533,0.009811,0.032166,0.035748,0.003142,0.005503,0.022896,0.544628,0.069992,0.007669,0.062669,0.978252,0.495067,0.002252,0.085753,0.880154,0.675527
b2_s42,gz_drop4_ctrl,gz_drop4,ctrl,preset_h0.3_d5,ctrl,3a,0.179869,0.02713,C3b,3b,C,0,0,0,0.005664,0.144849,0.002695,0.000187,0.001329,0.029008,0.031997,0.038805,0.001097,0.013454,0.014263,0.179869,0.003622,0.009614,0.015162,0.016009,0.002623,0.021044,0.01115,0.00015
b2_s42,gz_drop4_ctrl,gz_drop4,ctrl,preset_h0.9_d10,ctrl,3b,0.821294,0.181135,D3b,3b,D,1,1,3,0.000426,0.010709,0.004818,0.009859,0.000332,0.110875,0.336173,0.150142,0.000399,0.026328,0.652657,0.793629,0.000697,0.066384,0.398037,0.821294,0.000409,0.0175,0.1764,0.045626
b2_s42,gz_drop4_ctrl,gz_drop4,ctrl,preset_h0.9_d2,ctrl,2,0.784782,0.198828,D3a,3a,D,0,1,1,0.025895,0.391974,0.088493,0.109698,0.040718,0.149459,0.222466,0.121659,0.015047,0.157539,0.416779,0.125051,0.044715,0.143795,0.784782,0.25026,0.010558,0.218153,0.445892,0.213634
b2_s42,gz_drop4_ctrl,gz_drop4,ctrl,preset_h0.9_d5,ctrl,3a,0.681039,0.10419,C3b,3b,C,0,1,1,0.003677,0.344007,0.000466,0.00018,0.002434,0.234372,0.067712,0.134531,0.001954,0.041127,0.086748,0.681039,0.008189,0.070169,0.06115,0.062016,0.003408,0.26246,0.018084,7.4e-05
b2_s42,gz_drop4_ctrl,gz_drop4,ctrl,rs_h0.125_d2,ctrl,2,0.982179,0.164013,C3b,3b,C,0,1,3,0.000156,0.004417,0.00048,0.059489,0.000119,0.000673,0.004454,0.856772,0.000203,0.005308,0.00133,0.982179,0.00025,0.000748,0.006364,0.909347,5.9e-05,0.001673,0.018282,0.427957
b2_s42,gz_drop4_ctrl,gz_drop4,ctrl,rs_h0.125_d5,ctrl,3a,0.005535,0.000753,C3b,3b,C,0,0,0,0.00053,0.00045,0.000308,0.000281,0.000186,0.000222,9.8e-05,0.004668,0.000258,0.000194,3e-05,0.005535,0.000421,0.000306,6.7e-05,0.000482,0.000263,0.000305,0.000134,0.000326
b2_s43,gz_drop1,gz_drop1,hazard,extra_h0.3_d1.2,V,1,0.751034,0.375362,C3a,3a,C,0,1,7,0.094376,0.296944,0.36012,0.378778,0.047366,0.403075,0.590549,0.707973,0.073295,0.185295,0.751034,0.691061,0.076545,0.337277,0.700835,0.584189,0.116895,0.271846,0.280117,0.559666
b2_s43,gz_drop1,gz_drop1,hazard,preset_h0.3_d10,V,3b,0.673578,0.299575,C3b,3b,C,1,1,4,0.043395,0.200574,0.343799,0.487566,0.081999,0.185582,0.317705,0.577661,0.111989,0.274602,0.530638,0.673578,0.040844,0.240748,0.555934,0.434623,0.170491,0.150224,0.270645,0.298904
b2_s43,gz_drop1,gz_drop1,hazard,preset_h0.3_d2,V,2,0.743123,0.397543,C3a,3a,C,0,1,10,0.084861,0.271656,0.544754,0.519505,0.052737,0.309703,0.69956,0.640974,0.073481,0.212783,0.743123,0.633898,0.049009,0.615011,0.630892,0.623396,0.102418,0.216142,0.302933,0.624024
b2_s43,gz_drop1,gz_drop1,hazard,preset_h0.3_d5,V,3a,0.769789,0.364391,B3b,3b,B,0,1,6,0.055575,0.403659,0.362336,0.469578,0.096147,0.260693,0.584154,0.769789,0.072741,0.225824,0.617724,0.72212,0.057038,0.378435,0.589506,0.676941,0.146484,0.308438,0.212272,0.27836
b2_s43,gz_drop1,gz_drop1,hazard,preset_h0.9_d10,V,3b,0.744519,0.32978,B3b,3b,B,1,1,5,0.048763,0.223553,0.321832,0.460044,0.09633,0.213183,0.378886,0.744519,0.069789,0.349559,0.606313,0.714983,0.043072,0.374173,0.539518,0.52861,0.198908,0.200597,0.265871,0.217103
b2_s43,gz_drop1,gz_drop1,hazard,preset_h0.9_d2,V,2,0.746037,0.381202,C3a,3a,C,0,1,5,0.086956,0.417629,0.37186,0.426797,0.036001,0.401929,0.596515,0.570652,0.047263,0.376883,0.746037,0.530989,0.078313,0.399209,0.738912,0.46373,0.138957,0.270085,0.482006,0.443324
b2_s43,gz_drop1,gz_drop1,hazard,preset_h0.9_d5,V,3a,0.897971,0.500654,C3b,3b,C,0,1,10,0.103545,0.560604,0.447,0.554906,0.174791,0.662001,0.851301,0.797243,0.086987,0.460779,0.81223,0.897971,0.122016,0.602513,0.737609,0.765016,0.196529,0.487886,0.287472,0.404691
b2_s43,gz_drop1,gz_drop1,hazard,rs_h0.125_d2,V,2,0.484867,0.158036,C3b,3b,C,0,0,0,0.010764,0.095455,0.097957,0.326698,0.016784,0.034518,0.106014,0.369855,0.015991,0.065753,0.33578,0.484867,0.010546,0.117397,0.166925,0.442565,0.034756,0.058249,0.091162,0.278675
b2_s43,gz_drop1,gz_drop1,hazard,rs_h0.125_d5,V,3a,0.690997,0.353494,B3b,3b,B,0,1,5,0.063071,0.510566,0.356461,0.348601,0.064911,0.24529,0.409793,0.690997,0.109992,0.36723,0.556357,0.650502,0.09394,0.416991,0.52057,0.412423,0.194266,0.353889,0.335314,0.368718
