# dataset/<token> forms left as-is after the S2 hand pass (2026-08-27).
# variable-or-shell -> S3 converts to round_dir()/negobs_round; a string edit cannot fix it.
# doc-placeholder   -> S5 updates the documented convention once, not 30 separate edits.
# round-not-on-disk -> reference_inventory 6.3 R9: log as unmapped, do not invent a group.
# brace-or-glob     -> ambiguous expansion (see S2_report.md 4); non-path-token = regex/prose noise.
class	token	occurrences	files	example_file
brace-or-glob	dataset/260824_v3w3_extlat_{A	1	1	scripts/reorg/handfix_dataset_paths.py
brace-or-glob	dataset/260824_v3w3_extb2_{A	1	1	scripts/reorg/handfix_dataset_paths.py
brace-or-glob	dataset/260825_v3w0_cuecls_*	1	1	scripts/reorg/handfix_dataset_paths.py
brace-or-glob	dataset/260823_v3p5_h67reg_{A	1	1	scripts/reorg/handfix_dataset_paths.py
brace-or-glob	dataset/2607xx_*	1	1	scripts/reorg/handfix_dataset_paths.py
doc-placeholder	dataset/<run>	12	8	experiments/mainrun_0819/PIPELINE_NOTES.md
doc-placeholder	dataset/<round>	10	8	scripts/reorg/rewrite_dataset_paths.py
doc-placeholder	dataset/<group>	9	6	scripts/reorg/rewrite_dataset_paths.py
doc-placeholder	dataset/<정본	6	3	experiments/v3_0823/code/w1b2_segfill.py
doc-placeholder	dataset/<round>`	6	4	scripts/reorg/rewrite_dataset_paths.py
doc-placeholder	dataset/<그룹>	2	1	experiments/v3_0823/ACCOUNTING.md
doc-placeholder	dataset/<A라운드>	2	2	experiments/v3_0823/CUE_EXTENT_AUDIT.md
doc-placeholder	dataset/<token>`	2	2	scripts/reorg/handfix_dataset_paths.py
doc-placeholder	dataset/<split>	1	1	Docs/briefs/lighting_camera_variation_spec_v1.md
doc-placeholder	dataset/<스탬프>`	1	1	dataset/README.md
doc-placeholder	dataset/<라운드>`	1	1	experiments/v3_0823/ACCOUNTING.md
doc-placeholder	dataset/<run>_aug	1	1	scripts/sensor_augment.py
doc-placeholder	dataset/260820_boost_<band>_<arm>_g7fix`	1	1	scripts/reorg/handfix_dataset_paths.py
doc-placeholder	dataset/<run>`	1	1	scripts/reorg/handfix_dataset_paths.py
doc-placeholder	dataset/<split>`	1	1	scripts/reorg/handfix_dataset_paths.py
doc-placeholder	dataset/260820_boost_<band>_<arm>	1	1	scripts/reorg/handfix_dataset_paths.py
doc-placeholder	dataset/260820_boost_<band>_on_g7fix{	1	1	scripts/reorg/handfix_dataset_paths.py
doc-placeholder	dataset/260820_boost_<band>_off_g7fix{	1	1	scripts/reorg/handfix_dataset_paths.py
doc-placeholder	dataset/260820_boost_<band>_<arm>_g7fix	1	1	scripts/reorg/handfix_dataset_paths.py
doc-placeholder	dataset/260820_boost_<band>_<arm>_g7fixM	1	1	scripts/reorg/handfix_dataset_paths.py
doc-placeholder	dataset/<token>	1	1	scripts/reorg/rewrite_dataset_paths.py
non-path-token	dataset/	25	14	scripts/reorg/rewrite_dataset_paths.py
non-path-token	dataset/ROUNDS.json	4	3	scripts/reorg/build_rounds_map.py
non-path-token	dataset/...`	2	2	experiments/weekend_0823/redteam/R3_repro.md
non-path-token	dataset/%-42s	1	1	scripts/reorg/rewrite_dataset_paths.py
non-path-token	dataset/[A-Za-z0-9_.	1	1	scripts/reorg/rewrite_dataset_paths.py
round-not-on-disk	dataset/260826_v3a_segfill_smoke	38	1	experiments/v3_0823/logs/segfill_render.log
round-not-on-disk	dataset/260820_boost_e2	4	1	experiments/dayrun_0820/logs/boost_render.log
round-not-on-disk	dataset/260819_dataall_on	4	1	experiments/mainrun_0819/PIPELINE_NOTES.md
round-not-on-disk	dataset/ROUNDS.json`	3	3	dataset/README.md
round-not-on-disk	dataset/260819_dataall_on_aug	1	1	experiments/mainrun_0819/PIPELINE_NOTES.md
round-not-on-disk	dataset/…`	1	1	experiments/weekend_0823/cue_audit/PREREG_CUEOFF_PATHMAP_0827.md
round-not-on-disk	dataset/260819_dataall_on`	1	1	scripts/reorg/handfix_dataset_paths.py
round-not-on-disk	dataset/260826_v3a_segfill_smoke`	1	1	scripts/reorg/handfix_dataset_paths.py
round-not-on-disk	dataset/260820_boost_e2`	1	1	scripts/reorg/handfix_dataset_paths.py
variable-or-shell	dataset/`	24	16	experiments/v3_0823/ACCOUNTING.md
variable-or-shell	dataset/${run	21	11	experiments/probe_holes_0820/run_probe.sh
variable-or-shell	dataset/$r	18	9	experiments/v3_0823/code/run_h12_probe.sh
variable-or-shell	dataset/${STAMP	12	8	scripts/rounds/run_260826_v3a_segfill.sh
variable-or-shell	dataset/$run	9	8	experiments/probe_holes_0820/run_probe.sh
variable-or-shell	dataset/${pre	9	3	experiments/v3_0823/code/run_w2_h67.sh
variable-or-shell	dataset/${RUN	7	2	experiments/nightrun_0820/ctrl_dressing/run_ctrl_dressing.sh
variable-or-shell	dataset/$1	6	6	experiments/nightrun_0820/ctrl_dressing/run_ctrl_dressing.sh
variable-or-shell	dataset/${S	4	2	experiments/v3_0823/code/run_h12_label.sh
variable-or-shell	dataset/${N	4	2	experiments/v3_0823/code/run_h12_label.sh
variable-or-shell	dataset/${stamp	4	2	experiments/v3_0823/code/run_w2_label.sh
variable-or-shell	dataset/260825_v3w0_cuecls_${arm	4	2	experiments/v3_0823/code/w0_label.sh
variable-or-shell	dataset/260819_main_${arm	4	1	scripts/rounds/run_260819_main.sh
variable-or-shell	dataset/$(run_of_band	4	4	scripts/rounds/run_260826_v3a_segfill.sh
variable-or-shell	dataset/$on	3	2	experiments/weekend_0823/v2s/code/relabel_v2s.sh
variable-or-shell	dataset/$off	3	2	experiments/weekend_0823/v2s/code/relabel_v2s.sh
variable-or-shell	dataset/`.	3	2	scripts/reorg/rewrite_dataset_paths.py
variable-or-shell	dataset/260820_boost_${boost	3	1	scripts/rounds/run_260820_boost.sh
variable-or-shell	dataset/$RUN_ON	2	1	experiments/probe_holes_0820/run_probe.sh
variable-or-shell	dataset/$RUN_OFF	2	1	experiments/probe_holes_0820/run_probe.sh
variable-or-shell	dataset/${D_BASE	2	1	experiments/v3_0823/code/w1d_label.sh
variable-or-shell	dataset/${stem	2	1	experiments/weekend_0823/cue_audit/eval_cueoff.sh
variable-or-shell	dataset/(	2	1	scripts/reorg/rewrite_dataset_paths.py
variable-or-shell	dataset/`는	1	1	experiments/v3_0823/G7_RELABEL.md
variable-or-shell	dataset/$RUN	1	1	experiments/v3_0823/code/p5_seg_smoke.sh
variable-or-shell	dataset/${on	1	1	experiments/v3_0823/code/w1d_label.sh
variable-or-shell	dataset/`(31	1	1	experiments/weekend_0823/redteam/R3_repro.md
variable-or-shell	dataset/$r`	1	1	scripts/reorg/handfix_dataset_paths.py
variable-or-shell	dataset/([^	1	1	scripts/reorg/rewrite_dataset_paths.py
