old_path	new_path	kind	bytes	note
Docs/experiment/OVERNIGHT_BRIEF_0819_v3.md	Docs/campaign/OVERNIGHT_BRIEF_0819_v3.md	file	16052	S5-3: Docs/experiment -> Docs/campaign (D5, owner approved)
Docs/experiment/OVERNIGHT_BRIEF_0820_v1.md	Docs/campaign/OVERNIGHT_BRIEF_0820_v1.md	file	12204	S5-3: Docs/experiment -> Docs/campaign (D5, owner approved)
Docs/experiment/V3_BRIEF_0823.md	Docs/campaign/V3_BRIEF_0823.md	file	10808	S5-3: Docs/experiment -> Docs/campaign (D5, owner approved)
Docs/experiment/V3_DESIGN_0823.md	Docs/campaign/V3_DESIGN_0823.md	file	39902	S5-3: Docs/experiment -> Docs/campaign (D5, owner approved)
Docs/experiment/WEEKEND_BRIEF_0823.md	Docs/campaign/WEEKEND_BRIEF_0823.md	file	21018	S5-3: Docs/experiment -> Docs/campaign (D5, owner approved)
Docs/experiment/Status/PROJECT_STATE_0820.md	Docs/campaign/status/PROJECT_STATE_0820.md	file	7103	S5-3: Status -> status
Docs/experiment/Status/PROJECT_STATE_0823.md	Docs/campaign/status/PROJECT_STATE_0823.md	file	33457	S5-3: Status -> status
Docs/experiment/Status/PROJECT_STATE_0823_v2.md	Docs/campaign/status/PROJECT_STATE_0823_v2.md	file	8301	S5-3: Status -> status
Docs/experiment/Status/PROJECT_STATE_0823_v3.md	Docs/campaign/status/PROJECT_STATE_0823_v3.md	file	11080	S5-3: Status -> status
Docs/experiment/Status/PROJECT_STATE_0826.md	Docs/campaign/status/PROJECT_STATE_0826.md	file	36302	S5-3: Status -> status
Docs/experiment/Status/	Docs/campaign/status/	dir	0	S5-3
Docs/experiment/	Docs/campaign/	dir	0	S5-3
(new file)	experiments/v3_0823/PREREG_V3_PATHMAP_0827.md	file	974	S5-3: sealed PREREG_V3 keeps the old Docs/experiment/ spelling; this note is the map
Docs/campaign/status/PROJECT_STATE_0820.md	Docs/archive/campaign_status/PROJECT_STATE_0820.md	file	7103	S5-4: dated PROJECT_STATE superseded by the single living PROJECT_STATE.md
Docs/campaign/status/PROJECT_STATE_0823.md	Docs/archive/campaign_status/PROJECT_STATE_0823.md	file	33453	S5-4: dated PROJECT_STATE superseded by the single living PROJECT_STATE.md
Docs/campaign/status/PROJECT_STATE_0823_v2.md	Docs/archive/campaign_status/PROJECT_STATE_0823_v2.md	file	8297	S5-4: dated PROJECT_STATE superseded by the single living PROJECT_STATE.md
Docs/campaign/status/PROJECT_STATE_0823_v3.md	Docs/archive/campaign_status/PROJECT_STATE_0823_v3.md	file	11072	S5-4: dated PROJECT_STATE superseded by the single living PROJECT_STATE.md
Docs/campaign/status/PROJECT_STATE_0826.md	Docs/campaign/status/PROJECT_STATE.md	file (untracked)	36288	S5-4: the one living onboarding doc, undated
run_p2_all33.sh	scripts/rounds/run_p2_all33.sh	file	4175	S5-6 (D6): root render driver -> scripts/rounds/
run_260814_w4_d4iter.sh	scripts/rounds/run_260814_w4_d4iter.sh	file	653	S5-6 (D6): root render driver -> scripts/rounds/
run_260814_w4_r0probe.sh	scripts/rounds/run_260814_w4_r0probe.sh	file	2049	S5-6 (D6): root render driver -> scripts/rounds/
run_260814_w4_r1r2pilot.sh	scripts/rounds/run_260814_w4_r1r2pilot.sh	file	1348	S5-6 (D6): root render driver -> scripts/rounds/
run_260815_w4_r4batch.sh	scripts/rounds/run_260815_w4_r4batch.sh	file	1679	S5-6 (D6): root render driver -> scripts/rounds/
(new file)	experiments/README.md	file	4476	S5-5 (D4): cycle map, previously missing
(new file)	REORG_0827.md	file	5416	S5-8 (D7): Korean reorg map at repo root
(new file)	scripts/reorg/s5_residual_gate.py	file	4860	S5-10: re-runnable residual gate for S6
(new file)	scripts/reorg/s5_link_check.py	file	2559	S5-10: re-runnable Docs/ link-resolution gate for S6
