round	old_path	new_path	action	size_bytes	done
260823_v3p5_h12rev_A	dataset/260823_v3p5_h12rev_A	dataset/_archive/v3_scene_build/260823_v3p5_h12rev_A	archive	286859224	yes
260823_v3p5_h12rev_B	dataset/260823_v3p5_h12rev_B	dataset/_archive/v3_scene_build/260823_v3p5_h12rev_B	archive	287660428	yes
260823_v3p5_h12rev_C	dataset/260823_v3p5_h12rev_C	dataset/_archive/v3_scene_build/260823_v3p5_h12rev_C	archive	286172367	yes
260823_v3p5_h12rev_D	dataset/260823_v3p5_h12rev_D	dataset/_archive/v3_scene_build/260823_v3p5_h12rev_D	archive	285729300	yes
260823_v3p5_h3l1probe_A	dataset/260823_v3p5_h3l1probe_A	dataset/_archive/v3_scene_build/260823_v3p5_h3l1probe_A	archive	277504446	yes
260823_v3p5_h3l1probe_B	dataset/260823_v3p5_h3l1probe_B	dataset/_archive/v3_scene_build/260823_v3p5_h3l1probe_B	archive	281888412	yes
260823_v3p5_h3l1probe_C	dataset/260823_v3p5_h3l1probe_C	dataset/_archive/v3_scene_build/260823_v3p5_h3l1probe_C	archive	277527136	yes
260823_v3p5_h3l1probe_D	dataset/260823_v3p5_h3l1probe_D	dataset/_archive/v3_scene_build/260823_v3p5_h3l1probe_D	archive	281431505	yes
260823_v3p5_h3l1rev_A	dataset/260823_v3p5_h3l1rev_A	dataset/_archive/v3_scene_build/260823_v3p5_h3l1rev_A	archive	280445386	yes
260823_v3p5_h3l1rev_B	dataset/260823_v3p5_h3l1rev_B	dataset/_archive/v3_scene_build/260823_v3p5_h3l1rev_B	archive	285046557	yes
260823_v3p5_h3l1rev_C	dataset/260823_v3p5_h3l1rev_C	dataset/_archive/v3_scene_build/260823_v3p5_h3l1rev_C	archive	280293090	yes
260823_v3p5_h3l1rev_D	dataset/260823_v3p5_h3l1rev_D	dataset/_archive/v3_scene_build/260823_v3p5_h3l1rev_D	archive	284263704	yes
260823_v3p5_h67probe_A	dataset/260823_v3p5_h67probe_A	dataset/_archive/v3_scene_build/260823_v3p5_h67probe_A	archive	149216123	yes
260823_v3p5_h67probe_C	dataset/260823_v3p5_h67probe_C	dataset/_archive/v3_scene_build/260823_v3p5_h67probe_C	archive	148733143	yes
260823_v3p5_h67reg_A	dataset/260823_v3p5_h67reg_A	dataset/_archive/v3_scene_build/260823_v3p5_h67reg_A	archive	149158906	yes
260823_v3p5_h67reg_C	dataset/260823_v3p5_h67reg_C	dataset/_archive/v3_scene_build/260823_v3p5_h67reg_C	archive	148757324	yes
260823_v3p5_h67rev_A	dataset/260823_v3p5_h67rev_A	dataset/_archive/v3_scene_build/260823_v3p5_h67rev_A	archive	149123671	yes
260823_v3p5_n911probe_A	dataset/260823_v3p5_n911probe_A	dataset/_archive/v3_scene_build/260823_v3p5_n911probe_A	archive	273279433	yes
260823_v3p5_n911probe_B	dataset/260823_v3p5_n911probe_B	dataset/_archive/v3_scene_build/260823_v3p5_n911probe_B	archive	269529070	yes
260823_v3p5_n911probe_C	dataset/260823_v3p5_n911probe_C	dataset/_archive/v3_scene_build/260823_v3p5_n911probe_C	archive	273341204	yes
260823_v3p5_n911probe_D	dataset/260823_v3p5_n911probe_D	dataset/_archive/v3_scene_build/260823_v3p5_n911probe_D	archive	269633575	yes
260823_v3p5_n911rev2_A	dataset/260823_v3p5_n911rev2_A	dataset/_archive/v3_scene_build/260823_v3p5_n911rev2_A	archive	273271745	yes
260823_v3p5_n911rev2_B	dataset/260823_v3p5_n911rev2_B	dataset/_archive/v3_scene_build/260823_v3p5_n911rev2_B	archive	269535090	yes
260823_v3p5_n911rev2_C	dataset/260823_v3p5_n911rev2_C	dataset/_archive/v3_scene_build/260823_v3p5_n911rev2_C	archive	273354653	yes
260823_v3p5_n911rev2_D	dataset/260823_v3p5_n911rev2_D	dataset/_archive/v3_scene_build/260823_v3p5_n911rev2_D	archive	269599407	yes
260823_v3p5_n911rev3_A	dataset/260823_v3p5_n911rev3_A	dataset/_archive/v3_scene_build/260823_v3p5_n911rev3_A	archive	272788188	yes
260823_v3p5_n911rev3_B	dataset/260823_v3p5_n911rev3_B	dataset/_archive/v3_scene_build/260823_v3p5_n911rev3_B	archive	269477024	yes
260823_v3p5_n911rev3_C	dataset/260823_v3p5_n911rev3_C	dataset/_archive/v3_scene_build/260823_v3p5_n911rev3_C	archive	272864136	yes
260823_v3p5_n911rev3_D	dataset/260823_v3p5_n911rev3_D	dataset/_archive/v3_scene_build/260823_v3p5_n911rev3_D	archive	269568053	yes
260823_v3p5_n911rev_A	dataset/260823_v3p5_n911rev_A	dataset/_archive/v3_scene_build/260823_v3p5_n911rev_A	archive	273265622	yes
260823_v3p5_n911rev_B	dataset/260823_v3p5_n911rev_B	dataset/_archive/v3_scene_build/260823_v3p5_n911rev_B	archive	269532896	yes
260823_v3p5_n911rev_C	dataset/260823_v3p5_n911rev_C	dataset/_archive/v3_scene_build/260823_v3p5_n911rev_C	archive	273325765	yes
260823_v3p5_n911rev_D	dataset/260823_v3p5_n911rev_D	dataset/_archive/v3_scene_build/260823_v3p5_n911rev_D	archive	269612416	yes
260823_cueoff2_A	dataset/260823_cueoff2_A	dataset/cueoff/260823_cueoff2_A	keep	199694785	yes
260823_cueoff2_B1	dataset/260823_cueoff2_B1	dataset/cueoff/260823_cueoff2_B1	keep	217050447	yes
260823_cueoff2_B2	dataset/260823_cueoff2_B2	dataset/cueoff/260823_cueoff2_B2	keep	197155664	yes
260823_cueoff2_C	dataset/260823_cueoff2_C	dataset/cueoff/260823_cueoff2_C	keep	200363843	yes
260823_cueoff2_P	dataset/260823_cueoff2_P	dataset/cueoff/260823_cueoff2_P	keep	199866370	yes
260823_cueoff_A	dataset/260823_cueoff_A	dataset/cueoff/260823_cueoff_A	keep	630452187	yes
260823_cueoff_B1	dataset/260823_cueoff_B1	dataset/cueoff/260823_cueoff_B1	keep	611231705	yes
260823_cueoff_B2	dataset/260823_cueoff_B2	dataset/cueoff/260823_cueoff_B2	keep	415289007	yes
260823_cueoff_C	dataset/260823_cueoff_C	dataset/cueoff/260823_cueoff_C	keep	629018533	yes
260823_cueoff_P	dataset/260823_cueoff_P	dataset/cueoff/260823_cueoff_P	keep	617411419	yes
260823_cueoff_s20fix_A	dataset/260823_cueoff_s20fix_A	dataset/cueoff/260823_cueoff_s20fix_A	keep	427025601	yes
260823_cueoff_s20fix_B1	dataset/260823_cueoff_s20fix_B1	dataset/cueoff/260823_cueoff_s20fix_B1	keep	387960127	yes
260823_cueoff_s20fix_B2	dataset/260823_cueoff_s20fix_B2	dataset/cueoff/260823_cueoff_s20fix_B2	keep	434158682	yes
260823_cueoff_s20fix_C	dataset/260823_cueoff_s20fix_C	dataset/cueoff/260823_cueoff_s20fix_C	keep	426464302	yes
260823_cueoff_s20fix_P	dataset/260823_cueoff_s20fix_P	dataset/cueoff/260823_cueoff_s20fix_P	keep	410262983	yes
260824_handson	dataset/260824_handson	dataset/misc/260824_handson	keep	6273313	yes
260819_main_off	dataset/260819_main_off	dataset/v2_corpus/260819_main_off	keep	6944981768	yes
260819_main_on	dataset/260819_main_on	dataset/v2_corpus/260819_main_on	keep	6982219612	yes
260820_boost_e2_off	dataset/260820_boost_e2_off	dataset/v2_corpus/260820_boost_e2_off	keep	1730041524	yes
260820_boost_e2_off_g7fix	dataset/260820_boost_e2_off_g7fix	dataset/v2_corpus/260820_boost_e2_off_g7fix	keep	917764	yes
260820_boost_e2_off_g7fixM	dataset/260820_boost_e2_off_g7fixM	dataset/v2_corpus/260820_boost_e2_off_g7fixM	keep	32514	yes
260820_boost_e2_on	dataset/260820_boost_e2_on	dataset/v2_corpus/260820_boost_e2_on	keep	1743664957	yes
260820_boost_e2_on_g7fix	dataset/260820_boost_e2_on_g7fix	dataset/v2_corpus/260820_boost_e2_on_g7fix	keep	917346	yes
260820_boost_e2_on_g7fixM	dataset/260820_boost_e2_on_g7fixM	dataset/v2_corpus/260820_boost_e2_on_g7fixM	keep	32406	yes
260820_boost_e_off	dataset/260820_boost_e_off	dataset/v2_corpus/260820_boost_e_off	keep	2940785123	yes
260820_boost_e_off_g7fix	dataset/260820_boost_e_off_g7fix	dataset/v2_corpus/260820_boost_e_off_g7fix	keep	1389672	yes
260820_boost_e_off_g7fixM	dataset/260820_boost_e_off_g7fixM	dataset/v2_corpus/260820_boost_e_off_g7fixM	keep	42498	yes
260820_boost_e_on	dataset/260820_boost_e_on	dataset/v2_corpus/260820_boost_e_on	keep	3009527985	yes
260820_boost_e_on_g7fix	dataset/260820_boost_e_on_g7fix	dataset/v2_corpus/260820_boost_e_on_g7fix	keep	975883	yes
260820_boost_e_on_g7fixM	dataset/260820_boost_e_on_g7fixM	dataset/v2_corpus/260820_boost_e_on_g7fixM	keep	44943	yes
260820_boost_h_off	dataset/260820_boost_h_off	dataset/v2_corpus/260820_boost_h_off	keep	817669344	yes
260820_boost_h_on	dataset/260820_boost_h_on	dataset/v2_corpus/260820_boost_h_on	keep	835948221	yes
260820_ctrloff	dataset/260820_ctrloff	dataset/v2_probes/260820_ctrloff	keep	453416776	yes
260821_probe_off	dataset/260821_probe_off	dataset/v2_probes/260821_probe_off	keep	638416166	yes
260821_probe_on	dataset/260821_probe_on	dataset/v2_probes/260821_probe_on	keep	638423944	yes
260825_v3w0_cuecls_A	dataset/260825_v3w0_cuecls_A	dataset/v3_aux/260825_v3w0_cuecls_A	keep	677183877	yes
260825_v3w0_cuecls_Bdress	dataset/260825_v3w0_cuecls_Bdress	dataset/v3_aux/260825_v3w0_cuecls_Bdress	keep	643659141	yes
260825_v3w0_cuecls_Bmatl	dataset/260825_v3w0_cuecls_Bmatl	dataset/v3_aux/260825_v3w0_cuecls_Bmatl	keep	143300007	yes
260825_v3w0_cuecls_Bnose	dataset/260825_v3w0_cuecls_Bnose	dataset/v3_aux/260825_v3w0_cuecls_Bnose	keep	170645831	yes
260825_v3w0_cuecls_Brail	dataset/260825_v3w0_cuecls_Brail	dataset/v3_aux/260825_v3w0_cuecls_Brail	keep	312730279	yes
260825_v3w0_cuecls_Btact	dataset/260825_v3w0_cuecls_Btact	dataset/v3_aux/260825_v3w0_cuecls_Btact	keep	72640249	yes
260826_v3a_segfill	dataset/260826_v3a_segfill	dataset/v3_aux/260826_v3a_segfill	keep	3869050145	yes
260826_v3a_segfill_e	dataset/260826_v3a_segfill_e	dataset/v3_aux/260826_v3a_segfill_e	keep	1975083823	yes
260826_v3a_segfill_e2	dataset/260826_v3a_segfill_e2	dataset/v3_aux/260826_v3a_segfill_e2	keep	1109764722	yes
260826_v3a_segfill_h	dataset/260826_v3a_segfill_h	dataset/v3_aux/260826_v3a_segfill_h	keep	449867404	yes
260824_v3w2_h67base_A	dataset/260824_v3w2_h67base_A	dataset/v3_library/260824_v3w2_h67base_A	keep	413594562	yes
260824_v3w2_h67base_B	dataset/260824_v3w2_h67base_B	dataset/v3_library/260824_v3w2_h67base_B	keep	409371225	yes
260824_v3w2_h67base_C	dataset/260824_v3w2_h67base_C	dataset/v3_library/260824_v3w2_h67base_C	keep	419700706	yes
260824_v3w2_h67base_D	dataset/260824_v3w2_h67base_D	dataset/v3_library/260824_v3w2_h67base_D	keep	416391950	yes
260824_v3w2_h67h2_A	dataset/260824_v3w2_h67h2_A	dataset/v3_library/260824_v3w2_h67h2_A	keep	236275573	yes
260824_v3w2_h67h2_B	dataset/260824_v3w2_h67h2_B	dataset/v3_library/260824_v3w2_h67h2_B	keep	237139010	yes
260824_v3w2_h67h2_C	dataset/260824_v3w2_h67h2_C	dataset/v3_library/260824_v3w2_h67h2_C	keep	235846345	yes
260824_v3w2_h67h2_D	dataset/260824_v3w2_h67h2_D	dataset/v3_library/260824_v3w2_h67h2_D	keep	236120313	yes
260824_v3w2_h67h_A	dataset/260824_v3w2_h67h_A	dataset/v3_library/260824_v3w2_h67h_A	keep	432632981	yes
260824_v3w2_h67h_B	dataset/260824_v3w2_h67h_B	dataset/v3_library/260824_v3w2_h67h_B	keep	435323262	yes
260824_v3w2_h67h_C	dataset/260824_v3w2_h67h_C	dataset/v3_library/260824_v3w2_h67h_C	keep	431618053	yes
260824_v3w2_h67h_D	dataset/260824_v3w2_h67h_D	dataset/v3_library/260824_v3w2_h67h_D	keep	433689622	yes
260826_v3w1_lib_B	dataset/260826_v3w1_lib_B	dataset/v3_library/260826_v3w1_lib_B	keep	3094021228	yes
260826_v3w1_lib_B2	dataset/260826_v3w1_lib_B2	dataset/v3_library/260826_v3w1_lib_B2	keep	2484376730	yes
260826_v3w1_lib_B2_e	dataset/260826_v3w1_lib_B2_e	dataset/v3_library/260826_v3w1_lib_B2_e	keep	1465206645	yes
260826_v3w1_lib_B2_e2	dataset/260826_v3w1_lib_B2_e2	dataset/v3_library/260826_v3w1_lib_B2_e2	keep	631718945	yes
260826_v3w1_lib_B2_h	dataset/260826_v3w1_lib_B2_h	dataset/v3_library/260826_v3w1_lib_B2_h	keep	443962386	yes
260826_v3w1_lib_D	dataset/260826_v3w1_lib_D	dataset/v3_library/260826_v3w1_lib_D	keep	4489607443	yes
260826_v3w1_lib_D_e	dataset/260826_v3w1_lib_D_e	dataset/v3_library/260826_v3w1_lib_D_e	keep	1874182557	yes
260826_v3w1_lib_D_e2	dataset/260826_v3w1_lib_D_e2	dataset/v3_library/260826_v3w1_lib_D_e2	keep	1062486615	yes
260826_v3w1_lib_D_h	dataset/260826_v3w1_lib_D_h	dataset/v3_library/260826_v3w1_lib_D_h	keep	425340196	yes
260827_v3w1_lib_B3	dataset/260827_v3w1_lib_B3	dataset/v3_library/260827_v3w1_lib_B3	keep	1010338856	yes
260827_v3w1_lib_B3_e	dataset/260827_v3w1_lib_B3_e	dataset/v3_library/260827_v3w1_lib_B3_e	keep	637195556	yes
260827_v3w1_lib_B3_e2	dataset/260827_v3w1_lib_B3_e2	dataset/v3_library/260827_v3w1_lib_B3_e2	keep	214610898	yes
260827_v3w1_lib_B3_h	dataset/260827_v3w1_lib_B3_h	dataset/v3_library/260827_v3w1_lib_B3_h	keep	232154185	yes
260827_v3w1_lib_C	dataset/260827_v3w1_lib_C	dataset/v3_library/260827_v3w1_lib_C	keep	3879896602	yes
260827_v3w1_lib_C_e	dataset/260827_v3w1_lib_C_e	dataset/v3_library/260827_v3w1_lib_C_e	keep	1968382004	yes
260827_v3w1_lib_C_e2	dataset/260827_v3w1_lib_C_e2	dataset/v3_library/260827_v3w1_lib_C_e2	keep	1101768061	yes
260827_v3w1_lib_C_h	dataset/260827_v3w1_lib_C_h	dataset/v3_library/260827_v3w1_lib_C_h	keep	439665428	yes
260823_v3p5_h12near_A	dataset/260823_v3p5_h12near_A	dataset/v3_scene_build/260823_v3p5_h12near_A	keep	68184935	yes
260823_v3p5_h12near_C	dataset/260823_v3p5_h12near_C	dataset/v3_scene_build/260823_v3p5_h12near_C	keep	68905961	yes
260823_v3p5_h12reg2_A	dataset/260823_v3p5_h12reg2_A	dataset/v3_scene_build/260823_v3p5_h12reg2_A	keep	132228876	yes
260823_v3p5_h12reg2_B	dataset/260823_v3p5_h12reg2_B	dataset/v3_scene_build/260823_v3p5_h12reg2_B	keep	135709533	yes
260823_v3p5_h12reg2_C	dataset/260823_v3p5_h12reg2_C	dataset/v3_scene_build/260823_v3p5_h12reg2_C	keep	132464111	yes
260823_v3p5_h12reg2_D	dataset/260823_v3p5_h12reg2_D	dataset/v3_scene_build/260823_v3p5_h12reg2_D	keep	135534489	yes
260823_v3p5_h3l1near_A	dataset/260823_v3p5_h3l1near_A	dataset/v3_scene_build/260823_v3p5_h3l1near_A	keep	71000907	yes
260823_v3p5_h3l1near_C	dataset/260823_v3p5_h3l1near_C	dataset/v3_scene_build/260823_v3p5_h3l1near_C	keep	71110085	yes
260823_v3p5_h3l1reg_A	dataset/260823_v3p5_h3l1reg_A	dataset/v3_scene_build/260823_v3p5_h3l1reg_A	keep	281232321	yes
260823_v3p5_h3l1reg_B	dataset/260823_v3p5_h3l1reg_B	dataset/v3_scene_build/260823_v3p5_h3l1reg_B	keep	285748339	yes
260823_v3p5_h3l1reg_C	dataset/260823_v3p5_h3l1reg_C	dataset/v3_scene_build/260823_v3p5_h3l1reg_C	keep	281096754	yes
260823_v3p5_h3l1reg_D	dataset/260823_v3p5_h3l1reg_D	dataset/v3_scene_build/260823_v3p5_h3l1reg_D	keep	280847116	yes
260823_v3p5_h67reg2_A	dataset/260823_v3p5_h67reg2_A	dataset/v3_scene_build/260823_v3p5_h67reg2_A	keep	67819822	yes
260823_v3p5_h67reg2_C	dataset/260823_v3p5_h67reg2_C	dataset/v3_scene_build/260823_v3p5_h67reg2_C	keep	67781275	yes
260823_v3p5_n911b2_A	dataset/260823_v3p5_n911b2_A	dataset/v3_scene_build/260823_v3p5_n911b2_A	keep	140410233	yes
260823_v3p5_n911b2_B	dataset/260823_v3p5_n911b2_B	dataset/v3_scene_build/260823_v3p5_n911b2_B	keep	137775915	yes
260823_v3p5_n911b2_C	dataset/260823_v3p5_n911b2_C	dataset/v3_scene_build/260823_v3p5_n911b2_C	keep	140514704	yes
260823_v3p5_n911b2_D	dataset/260823_v3p5_n911b2_D	dataset/v3_scene_build/260823_v3p5_n911b2_D	keep	137799051	yes
260823_v3p5_n911rev4_A	dataset/260823_v3p5_n911rev4_A	dataset/v3_scene_build/260823_v3p5_n911rev4_A	keep	276107549	yes
260823_v3p5_n911rev4_B	dataset/260823_v3p5_n911rev4_B	dataset/v3_scene_build/260823_v3p5_n911rev4_B	keep	269565433	yes
260823_v3p5_n911rev4_C	dataset/260823_v3p5_n911rev4_C	dataset/v3_scene_build/260823_v3p5_n911rev4_C	keep	276209168	yes
260823_v3p5_n911rev4_D	dataset/260823_v3p5_n911rev4_D	dataset/v3_scene_build/260823_v3p5_n911rev4_D	keep	269622622	yes
260824_v3w3_extb2_A	dataset/260824_v3w3_extb2_A	dataset/v3_test_ext/260824_v3w3_extb2_A	keep	421307349	yes
260824_v3w3_extb2_B	dataset/260824_v3w3_extb2_B	dataset/v3_test_ext/260824_v3w3_extb2_B	keep	409066024	yes
260824_v3w3_extb2_C	dataset/260824_v3w3_extb2_C	dataset/v3_test_ext/260824_v3w3_extb2_C	keep	421551838	yes
260824_v3w3_extb2_D	dataset/260824_v3w3_extb2_D	dataset/v3_test_ext/260824_v3w3_extb2_D	keep	409095014	yes
260824_v3w3_extbase_A	dataset/260824_v3w3_extbase_A	dataset/v3_test_ext/260824_v3w3_extbase_A	keep	1253115821	yes
260824_v3w3_extbase_B	dataset/260824_v3w3_extbase_B	dataset/v3_test_ext/260824_v3w3_extbase_B	keep	1240306054	yes
260824_v3w3_extbase_C	dataset/260824_v3w3_extbase_C	dataset/v3_test_ext/260824_v3w3_extbase_C	keep	1252363064	yes
260824_v3w3_extbase_D	dataset/260824_v3w3_extbase_D	dataset/v3_test_ext/260824_v3w3_extbase_D	keep	1238610186	yes
260824_v3w3_exth_A	dataset/260824_v3w3_exth_A	dataset/v3_test_ext/260824_v3w3_exth_A	keep	641516738	yes
260824_v3w3_exth_B	dataset/260824_v3w3_exth_B	dataset/v3_test_ext/260824_v3w3_exth_B	keep	646033178	yes
260824_v3w3_exth_C	dataset/260824_v3w3_exth_C	dataset/v3_test_ext/260824_v3w3_exth_C	keep	639869806	yes
260824_v3w3_exth_D	dataset/260824_v3w3_exth_D	dataset/v3_test_ext/260824_v3w3_exth_D	keep	643291807	yes
260824_v3w3_extlat_A	dataset/260824_v3w3_extlat_A	dataset/v3_test_ext/260824_v3w3_extlat_A	keep	209544530	yes
260824_v3w3_extlat_B	dataset/260824_v3w3_extlat_B	dataset/v3_test_ext/260824_v3w3_extlat_B	keep	215497680	yes
260824_v3w3_extlat_C	dataset/260824_v3w3_extlat_C	dataset/v3_test_ext/260824_v3w3_extlat_C	keep	209041153	yes
260824_v3w3_extlat_D	dataset/260824_v3w3_extlat_D	dataset/v3_test_ext/260824_v3w3_extlat_D	keep	214202007	yes
260827_handson	dataset/260827_handson	dataset/misc/260827_handson	keep	10249930	yes
