frame_id,scene,split,round,cond,cam_d,cam_h,cam_yaw,cam_pitch,cam_hfov,cam_y,preset,preset_h,preset_d,occluder_class,occluder_detail,cue_edge_line_contrast,cue_texture_change_across_edge,cue_shadow_line,cue_far_side_visible_depth,cue_nosing_strip,cue_tactile_paving,cue_railing_or_guard,cue_curb_or_upstand,cue_vegetation_edge,cue_water_surface,cue_signage_or_marking,cue_specular_change,cue_geometry_silhouette,m_edge_line_contrast,m_texture_change_across_edge,m_shadow_line,m_far_side_visible_depth,m_nosing_strip,m_tactile_paving,m_railing_or_guard,m_curb_or_upstand,m_vegetation_edge,m_water_surface,m_signage_or_marking,m_specular_change,m_geometry_silhouette,cue_count,cue_count_loadbearing,cue_count_strong,fam_direct_depth,fam_edge_surface,fam_installed,fam_context_veg,cls,cue_list,n_pos_cells,gt_bands,scene_level_fallback
on/scene09/L0__s20260820__0004.png::boost_e,scene09,train,260820_boost_e_on,L0,9.082,1.265,4.37,-7.6,62.51,-0.03,h0.9_d10,0.9,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,0,0,0,0,0,0,0,0,0,0,1,0,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,2,1,0,1,0,1,0,cued-H,signage_or_marking|geometry_silhouette,5,3b,0
on/scene09/L0__s20260820__0004.png::boost_h,scene09,train,260820_boost_h_on,L0,9.082,0.32,4.37,-7.6,62.51,-0.03,h0.3_d10,0.3,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,0,0,0,0,0,0,0,0,0,0,1,0,0,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,1,1,0,0,0,1,0,cued-H,signage_or_marking,5,3b,0
on/scene09/L0__s20260820__0005.png::boost_e,scene09,train,260820_boost_e_on,L0,7.729,1.207,-4.33,-12.52,62.93,0.387,h0.9_d10,0.9,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,0,0,0,0,0,0,0,0,0,0,1,0,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,2,1,0,1,0,1,0,cued-H,signage_or_marking|geometry_silhouette,5,3b,0
on/scene09/L0__s20260820__0005.png::boost_h,scene09,train,260820_boost_h_on,L0,7.729,0.258,-4.33,-12.52,62.93,0.387,h0.3_d10,0.3,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,0,0,0,0,0,0,0,0,0,0,1,0,0,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,1,1,0,0,0,1,0,cued-H,signage_or_marking,5,3b,0
on/scene09/L0__s20260820__0006.png::boost_e,scene09,train,260820_boost_e_on,L0,6.332,1.531,-1.07,-2.07,64.04,0.088,h1.8_d5,1.8,5.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,0,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,6,2,2,3,2,0,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|specular_change|geometry_silhouette,10,3a+3b,0
on/scene09/L0__s20260820__0006.png::boost_h,scene09,train,260820_boost_h_on,L0,6.332,0.605,-1.07,-2.07,64.04,0.088,h0.9_d5,0.9,5.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,0,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,6,2,2,3,2,0,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|specular_change|geometry_silhouette,10,3a+3b,0
on/scene09/L0__s20260820__0007.png::boost_h,scene09,train,260820_boost_h_on,L0,6.548,0.805,7.75,-9.43,64.97,-0.012,h0.9_d5,0.9,5.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,0,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,6,2,2,3,2,0,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|specular_change|geometry_silhouette,10,3a+3b,0
on/scene09/L5__s20260819__0001.png,scene09,train,260819_main_on,L5,7.586,1.607,-4.18,-13.16,62.64,0.432,h1.8_d10,1.8,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,7,3,2,3,2,1,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,7,3a+3b,0
on/scene09/L5__s20260819__0003.png,scene09,train,260819_main_on,L5,1.524,0.388,2.71,-8.07,63.97,-0.241,h0.3_d2,0.3,2.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,0,1,0,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,5,1,2,3,2,0,0,cued-H,edge_line_contrast|far_side_visible_depth|water_surface|specular_change|geometry_silhouette,19,1+2+3a+3b,0
on/scene09/L5__s20260819__0004.png,scene09,train,260819_main_on,L5,6.582,1.115,14.8,-14.34,63.06,0.504,h0.9_d5,0.9,5.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,0,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,6,2,2,3,2,0,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|specular_change|geometry_silhouette,9,3a+3b,0
on/scene09/L5__s20260819__0005.png,scene09,train,260819_main_on,L5,3.984,0.281,-12.42,-13.61,60.83,-0.013,h0.3_d5,0.3,5.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,0,0,0,0,0,0,0,0,0,0,0,0,0,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,0,0,0,0,0,0,0,bare-H,,14,2+3a+3b,0
on/scene09/L5__s20260819__0007.png,scene09,train,260819_main_on,L5,5.921,1.077,-17.45,-10.92,60.9,0.128,h0.9_d5,0.9,5.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,0,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,6,2,2,3,2,0,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|specular_change|geometry_silhouette,10,3a+3b,0
on/scene09/L5__s20260820__0000.png::boost_e,scene09,train,260820_boost_e_on,L5,9.011,1.438,-5.22,-10.31,63.1,0.08,h1.8_d10,1.8,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,7,3,2,3,2,1,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,5,3b,0
on/scene09/L5__s20260820__0000.png::boost_h,scene09,train,260820_boost_h_on,L5,9.011,0.504,-5.22,-10.31,63.1,0.08,h0.3_d10,0.3,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,0,0,0,0,0,0,0,0,0,0,1,0,0,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,1,1,0,0,0,1,0,cued-H,signage_or_marking,5,3b,0
on/scene09/L5__s20260820__0001.png::boost_e,scene09,train,260820_boost_e_on,L5,9.603,1.436,-0.26,-13.27,62.01,-0.488,h1.8_d10,1.8,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,7,3,2,3,2,1,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,5,3b,0
on/scene09/L5__s20260820__0001.png::boost_h,scene09,train,260820_boost_h_on,L5,9.603,0.503,-0.26,-13.27,62.01,-0.488,h0.3_d10,0.3,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,0,0,0,0,0,0,0,0,0,0,1,0,0,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,1,1,0,0,0,1,0,cued-H,signage_or_marking,5,3b,0
on/scene09/L5__s20260820__0002.png::boost_e,scene09,train,260820_boost_e_on,L5,6.707,1.665,9.67,-7.81,63.25,0.135,h1.8_d5,1.8,5.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,0,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,6,2,2,3,2,0,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|specular_change|geometry_silhouette,9,3a+3b,0
on/scene09/L5__s20260820__0002.png::boost_h,scene09,train,260820_boost_h_on,L5,6.707,0.748,9.67,-7.81,63.25,0.135,h0.9_d5,0.9,5.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,0,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,6,2,2,3,2,0,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|specular_change|geometry_silhouette,9,3a+3b,0
on/scene09/L5__s20260820__0003.png::boost_e,scene09,train,260820_boost_e_on,L5,8.814,1.791,-10.72,-3.66,60.09,-0.585,h1.8_d10,1.8,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,7,3,2,3,2,1,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,5,3b,0
on/scene09/L5__s20260820__0003.png::boost_h,scene09,train,260820_boost_h_on,L5,8.814,0.883,-10.72,-3.66,60.09,-0.585,h0.9_d10,0.9,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,0,0,0,0,0,0,0,0,0,0,1,0,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,2,1,0,1,0,1,0,cued-H,signage_or_marking|geometry_silhouette,5,3b,0
on/scene09/L5__s20260820__0004.png::boost_e,scene09,train,260820_boost_e_on,L5,9.082,1.265,4.37,-7.6,62.51,-0.03,h0.9_d10,0.9,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,0,0,0,0,0,0,0,0,0,0,1,0,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,2,1,0,1,0,1,0,cued-H,signage_or_marking|geometry_silhouette,5,3b,0
on/scene09/L5__s20260820__0004.png::boost_h,scene09,train,260820_boost_h_on,L5,9.082,0.32,4.37,-7.6,62.51,-0.03,h0.3_d10,0.3,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,0,0,0,0,0,0,0,0,0,0,1,0,0,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,1,1,0,0,0,1,0,cued-H,signage_or_marking,5,3b,0
on/scene09/L5__s20260820__0005.png::boost_e,scene09,train,260820_boost_e_on,L5,7.729,1.207,-4.33,-12.52,62.93,0.387,h0.9_d10,0.9,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,0,0,0,0,0,0,0,0,0,0,1,0,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,2,1,0,1,0,1,0,cued-H,signage_or_marking|geometry_silhouette,5,3b,0
on/scene09/L5__s20260820__0005.png::boost_h,scene09,train,260820_boost_h_on,L5,7.729,0.258,-4.33,-12.52,62.93,0.387,h0.3_d10,0.3,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,0,0,0,0,0,0,0,0,0,0,1,0,0,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,1,1,0,0,0,1,0,cued-H,signage_or_marking,5,3b,0
on/scene09/L5__s20260820__0006.png::boost_e,scene09,train,260820_boost_e_on,L5,6.332,1.531,-1.07,-2.07,64.04,0.088,h1.8_d5,1.8,5.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,0,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,6,2,2,3,2,0,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|specular_change|geometry_silhouette,10,3a+3b,0
on/scene09/L5__s20260820__0006.png::boost_h,scene09,train,260820_boost_h_on,L5,6.332,0.605,-1.07,-2.07,64.04,0.088,h0.9_d5,0.9,5.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,0,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,6,2,2,3,2,0,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|specular_change|geometry_silhouette,10,3a+3b,0
on/scene09/L5__s20260820__0007.png::boost_h,scene09,train,260820_boost_h_on,L5,6.548,0.805,7.75,-9.43,64.97,-0.012,h0.9_d5,0.9,5.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,0,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,6,2,2,3,2,0,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|specular_change|geometry_silhouette,10,3a+3b,0
on/scene09/L7__s20260819__0001.png,scene09,train,260819_main_on,L7,7.586,1.607,-4.18,-13.16,62.64,0.432,h1.8_d10,1.8,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,7,3,2,3,2,1,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,7,3a+3b,0
on/scene09/L7__s20260819__0003.png,scene09,train,260819_main_on,L7,1.524,0.388,2.71,-8.07,63.97,-0.241,h0.3_d2,0.3,2.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,0,1,0,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,5,1,2,3,2,0,0,cued-H,edge_line_contrast|far_side_visible_depth|water_surface|specular_change|geometry_silhouette,19,1+2+3a+3b,0
on/scene09/L7__s20260819__0004.png,scene09,train,260819_main_on,L7,6.582,1.115,14.8,-14.34,63.06,0.504,h0.9_d5,0.9,5.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,0,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,6,2,2,3,2,0,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|specular_change|geometry_silhouette,9,3a+3b,0
on/scene09/L7__s20260819__0005.png,scene09,train,260819_main_on,L7,3.984,0.281,-12.42,-13.61,60.83,-0.013,h0.3_d5,0.3,5.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,0,0,0,0,0,0,0,0,0,0,0,0,0,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,0,0,0,0,0,0,0,bare-H,,14,2+3a+3b,0
on/scene09/L7__s20260819__0007.png,scene09,train,260819_main_on,L7,5.921,1.077,-17.45,-10.92,60.9,0.128,h0.9_d5,0.9,5.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,0,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,6,2,2,3,2,0,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|specular_change|geometry_silhouette,10,3a+3b,0
on/scene09/L7__s20260820__0000.png::boost_e,scene09,train,260820_boost_e_on,L7,9.011,1.438,-5.22,-10.31,63.1,0.08,h1.8_d10,1.8,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,7,3,2,3,2,1,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,5,3b,0
on/scene09/L7__s20260820__0000.png::boost_h,scene09,train,260820_boost_h_on,L7,9.011,0.504,-5.22,-10.31,63.1,0.08,h0.3_d10,0.3,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,0,0,0,0,0,0,0,0,0,0,1,0,0,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,1,1,0,0,0,1,0,cued-H,signage_or_marking,5,3b,0
on/scene09/L7__s20260820__0001.png::boost_e,scene09,train,260820_boost_e_on,L7,9.603,1.436,-0.26,-13.27,62.01,-0.488,h1.8_d10,1.8,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,7,3,2,3,2,1,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,5,3b,0
on/scene09/L7__s20260820__0001.png::boost_h,scene09,train,260820_boost_h_on,L7,9.603,0.503,-0.26,-13.27,62.01,-0.488,h0.3_d10,0.3,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,0,0,0,0,0,0,0,0,0,0,1,0,0,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,1,1,0,0,0,1,0,cued-H,signage_or_marking,5,3b,0
on/scene09/L7__s20260820__0002.png::boost_e,scene09,train,260820_boost_e_on,L7,6.707,1.665,9.67,-7.81,63.25,0.135,h1.8_d5,1.8,5.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,0,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,6,2,2,3,2,0,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|specular_change|geometry_silhouette,9,3a+3b,0
on/scene09/L7__s20260820__0002.png::boost_h,scene09,train,260820_boost_h_on,L7,6.707,0.748,9.67,-7.81,63.25,0.135,h0.9_d5,0.9,5.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,0,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,6,2,2,3,2,0,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|specular_change|geometry_silhouette,9,3a+3b,0
on/scene09/L7__s20260820__0003.png::boost_e,scene09,train,260820_boost_e_on,L7,8.814,1.791,-10.72,-3.66,60.09,-0.585,h1.8_d10,1.8,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,7,3,2,3,2,1,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,5,3b,0
on/scene09/L7__s20260820__0003.png::boost_h,scene09,train,260820_boost_h_on,L7,8.814,0.883,-10.72,-3.66,60.09,-0.585,h0.9_d10,0.9,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,0,0,0,0,0,0,0,0,0,0,1,0,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,2,1,0,1,0,1,0,cued-H,signage_or_marking|geometry_silhouette,5,3b,0
on/scene09/L7__s20260820__0004.png::boost_e,scene09,train,260820_boost_e_on,L7,9.082,1.265,4.37,-7.6,62.51,-0.03,h0.9_d10,0.9,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,0,0,0,0,0,0,0,0,0,0,1,0,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,2,1,0,1,0,1,0,cued-H,signage_or_marking|geometry_silhouette,5,3b,0
